x,y,z,
-58.2992,-211.479,-0.606368,
-168.655,-163.413,-0.712155,
-69.3569,-205.646,-0.763629,
-76.6455,-202.601,-0.694474,
-88.7136,-195.783,-0.697647,
-199.497,-148.516,-0.462441,
-184.767,-154.839,-0.76328,
-170.585,-160.775,-0.536426,
-176.652,-158.16,-0.908058,
-76.6429,-199.884,-0.720283,
-81.2911,-195.993,-0.629623,
-46.3883,-212.015,-0.608119,
-72.3556,-199.883,-0.72355,
-184.861,-151.696,-0.828637,
-191.379,-149.787,-0.779844,
-70.4805,-199.917,-0.721498,
-202.255,-143.505,-0.390186,
-61.0174,-203.152,-0.592171,
-46.5585,-208.332,-0.763631,
-200.242,-143.754,-0.543321,
-184.785,-148.769,-0.830488,
-64.6069,-199.564,-0.734887,
-69.9394,-197.06,-0.77373,
-202.359,-139.798,-0.480357,
-39.8663,-207.933,-0.770012,
-193.207,-143.459,-0.810865,
-73.2002,-194.92,-0.492333,
-58.2903,-198.79,-0.643004,
-63.4898,-195.068,-0.812946,
-195.768,-139.362,-0.808002,
-181.121,-146.291,-0.986781,
-40.3205,-205.06,-0.76866,
-193.662,-140.364,-0.824042,
-57.5176,-196.271,-0.642443,
-22.3973,-211.596,-0.62591,
-141.18,-216.603,2.34687,
-55.5102,-195.92,-0.65479,
195.827,-141.177,0.104624,
-45.6928,-200.044,-0.739194,
-51.3858,-196.386,-0.724778,
5.41521,-219.255,-0.32139,
-22.6374,-208.811,-0.720303,
-49.4912,-196.335,-0.740719,
201.257,-141.95,2.36973,
1.47065,-217.453,-0.380173,
-46.7617,-196.653,-0.733496,
10.473,-220.86,-0.185083,
-16.6424,-208.286,-0.735382,
181.845,-73.2523,-0.791995,
14.308,-219.999,-0.156718,
7.19937,-217.325,-0.416694,
184.143,-73.3807,-0.85975,
-24.9187,-202.943,-0.682736,
-9.74319,-207.899,-0.722186,
199.822,-137.031,0.664212,
19.195,-220.258,-0.170943,
13.4031,-217.123,-0.331007,
190.657,-73.8594,-0.584788,
184.363,-70.4217,-0.851996,
-24.5947,-200.629,-0.689568,
11.2963,-215.096,-0.448354,
-16.4696,-202.706,-0.656633,
-22.5115,-199.809,-0.663866,
-7.58188,-205.612,-0.712051,
7.53795,-211.767,-0.630298,
0.674385,-209.295,-0.23213,
-118.479,-215.685,0.0459654,
10.5141,-211.452,-0.635147,
25.3322,-217.192,-0.303162,
19.6604,-214.791,-0.435773,
-100.001,-220.116,0.306544,
-13.5901,-200.031,-0.616872,
22.3755,-214.375,-0.456344,
-96.341,-219.887,0.245354,
-82.5907,-225.005,2.63068,
